K	seed_max	period
3	60	4
4	116	6
5	204	4
6	292	4
7	392	4
8	540	4
9	672	12
10	804	12
11	964	14
12	1160	14
13	1404	18
14	1624	8
15	1960	14
16	2164	24
17	2400	12
18	2708	22
19	3092	14
20	3384	22
21	3760	18
22	4204	12
23	4596	10
24	5024	42
25	5372	24
26	5912	14
27	6308	14
28	6804	16
29	7220	38
30	7800	14
31	8304	46
32	8944	30
33	9484	32
34 10084 26
35 10676 52
36 11348 18
37 11960 66
38 12764 92
39 13304 108
40 14024 82
41 14832 18
42 15532 34
43 16260 22
44 17168 16
45 17844 32
46 18664 54
47 19496 44
48 20436 34
49 21136 146
50 22116 58
51 23160 30
52 23964 98
53 24796 60
54 25880 46
55 26936 142
56 27920 76
57 28912 158
58 29920 50
59 30892 48
60 31912 264
61 33100 26
62 34196 82
63 35424 158
64 36332 150
65 37780 156
66 39028 28
67 40112 24
68 41484 14
69 42500 50
70 43976 108
71 45164 48
72 46468 26
73 47736 42
74 49244 36
75 50460 32
76 51972 28
77 53400 24
